2025-10-25 16:31:14.977331 - T:27.5, H:92.0, C:1481.0, L:31.0
2025-10-25 16:31:25.178402 - T:27.5, H:92.0, C:1480.0, L:31.0
2025-10-25 16:31:34.995547 - T:27.5, H:91.9, C:1481.0, L:31.0
2025-10-25 16:31:44.933097 - T:27.5, H:92.0, C:1479.0, L:31.0
2025-10-25 16:31:55.008063 - T:27.5, H:92.0, C:1480.0, L:31.0
2025-10-25 16:32:05.459916 - T:27.5, H:92.0, C:1480.0, L:31.0
2025-10-25 16:32:14.949015 - T:27.5, H:92.0, C:1482.0, L:31.0
2025-10-25 16:32:25.035965 - T:27.5, H:92.0, C:1480.0, L:31.0
2025-10-25 16:32:34.915328 - T:27.5, H:92.0, C:1481.0, L:31.0
2025-10-25 17:51:31.837815 - T:28.0, H:90.8, C:1517.0, L:66.0
2025-10-25 17:51:41.792831 - T:28.0, H:90.8, C:1515.0, L:66.0
2025-10-25 17:51:51.772862 - T:28.0, H:90.8, C:1492.0, L:63.0
2025-10-25 17:52:01.838811 - T:28.0, H:90.7, C:1494.0, L:63.0
2025-10-25 17:52:11.934930 - T:28.0, H:90.7, C:1494.0, L:65.0
2025-10-25 17:52:22.024789 - T:28.0, H:90.6, C:1495.0, L:65.0
2025-10-25 17:52:31.950119 - T:28.0, H:90.6, C:1495.0, L:64.0
2025-10-25 17:52:42.029547 - T:28.0, H:90.6, C:1494.0, L:65.0
2025-10-25 17:52:52.070111 - T:28.0, H:90.5, C:1494.0, L:64.0
2025-10-25 17:53:02.100530 - T:28.0, H:90.5, C:1494.0, L:64.0
2025-10-25 17:53:12.023967 - T:28.0, H:90.4, C:1495.0, L:62.0
2025-10-25 17:53:22.594633 - T:28.0, H:90.5, C:1494.0, L:62.0
2025-10-25 17:53:32.081190 - T:28.0, H:90.5, C:1494.0, L:66.0
2025-10-25 17:53:42.143012 - T:28.0, H:90.5, C:1497.0, L:65.0
2025-10-25 17:53:52.175746 - T:28.0, H:90.5, C:1496.0, L:66.0
2025-10-25 17:54:02.577415 - T:28.0, H:90.4, C:1496.0, L:66.0
2025-10-25 17:54:12.454134 - T:27.9, H:90.5, C:1495.0, L:66.0
2025-10-26 13:30:26.809341 - T:29.7, H:73.2, C:1364.0, L:79.0
2025-10-26 13:30:36.535706 - T:29.6, H:73.1, C:1382.0, L:80.0
2025-10-26 13:31:11.029877 - T:29.7, H:73.1, C:1393.0, L:79.0
2025-10-26 13:31:29.044548 - T:29.7, H:73.0, C:1387.0, L:80.0
2025-10-26 13:31:34.631882 - T:29.6, H:72.8, C:1391.0, L:80.0
2025-10-26 13:31:41.144570 - T:29.6, H:72.5, C:1393.0, L:81.0
2025-10-26 13:31:55.978291 - T:29.6, H:72.2, C:1393.0, L:81.0
2025-10-26 13:32:07.708771 - T:29.6, H:72.1, C:1392.0, L:80.0
2025-10-26 13:32:15.009321 - T:29.6, H:72.1, C:1388.0, L:80.0
2025-10-26 13:32:20.267322 - T:29.6, H:72.0, C:1392.0, L:80.0
2025-10-26 13:32:26.788842 - T:29.7, H:71.9, C:1393.0, L:81.0
2025-10-26 13:32:44.111771 - T:29.7, H:71.9, C:1393.0, L:81.0
2025-10-26 13:32:49.626478 - T:29.7, H:72.0, C:1393.0, L:81.0
2025-10-26 13:32:57.565310 - T:29.6, H:72.0, C:1392.0, L:80.0
2025-10-26 13:33:04.093943 - T:29.6, H:71.9, C:1393.0, L:80.0
2025-10-26 13:33:10.003541 - T:29.7, H:71.9, C:1394.0, L:79.0
2025-10-26 13:33:18.525141 - T:29.7, H:72.3, C:1399.0, L:80.0
2025-10-26 13:33:24.241800 - T:29.7, H:72.4, C:1393.0, L:80.0
2025-10-26 13:33:30.381598 - T:29.7, H:72.2, C:1394.0, L:80.0
2025-10-26 13:33:36.833204 - T:29.6, H:72.0, C:1394.0, L:80.0
2025-10-26 13:33:46.616173 - T:29.6, H:72.0, C:1395.0, L:80.0
2025-10-26 13:33:56.823237 - T:29.7, H:72.4, C:1395.0, L:80.0
2025-10-26 13:34:06.718409 - T:29.7, H:72.4, C:1398.0, L:80.0
2025-10-26 13:34:16.603852 - T:29.7, H:72.5, C:1399.0, L:81.0
2025-10-26 13:34:26.511530 - T:29.7, H:72.4, C:1399.0, L:81.0
2025-10-26 13:34:36.856971 - T:29.7, H:72.3, C:1399.0, L:81.0
2025-10-26 13:34:46.653369 - T:29.7, H:72.4, C:1399.0, L:81.0
2025-10-26 13:34:56.639238 - T:29.6, H:72.5, C:1399.0, L:81.0
2025-10-26 13:35:06.664949 - T:29.7, H:72.7, C:1399.0, L:80.0
2025-10-26 13:35:16.707809 - T:29.7, H:72.7, C:1408.0, L:81.0
2025-10-26 13:35:26.564553 - T:29.7, H:72.6, C:1410.0, L:81.0
2025-10-26 13:35:36.634608 - T:29.7, H:72.7, C:1408.0, L:81.0
2025-10-26 13:35:46.511423 - T:29.7, H:72.5, C:1412.0, L:81.0
2025-10-26 13:35:56.539113 - T:29.7, H:72.4, C:1413.0, L:81.0
2025-10-26 13:36:06.619500 - T:29.7, H:72.5, C:1417.0, L:80.0
2025-10-26 13:36:16.596692 - T:29.7, H:72.5, C:1320.0, L:83.0
